sample_id,cluster,env_biome,group_biome,env_feature,env_material,empo_1,empo_2,empo_3,envo_biome_0,envo_biome_1,envo_biome_2,country,latitude_deg,longitude_deg,depth_m,elevation_m,adiv_observed_otus,adiv_chao1,adiv_shannon,adiv_faith_pd,temperature_deg_c,ph,salinity_psu,phosphate_umol_per_l,ammonium_umol_per_l,nitrate_umol_per_l
1289.KH24,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,979,1611.83957219251,8.23452077232713,82.128549331997,NA,NA,NA,NA,NA,NA
1289.KH25,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,951,1785.75,8.37564173464526,77.799808032405,NA,NA,NA,NA,NA,NA
1289.KH26,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,919,1650.83916083916,8.22275380918555,78.3255245085509,NA,NA,NA,NA,NA,NA
1289.KH27,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,952,1648,8.33354735619771,76.4434542733749,NA,NA,NA,NA,NA,NA
1289.KH28,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,914,1494.3216374269,8.06864474973887,77.6288769113805,NA,NA,NA,NA,NA,NA
1289.KH29,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,995,1669.78212290503,8.38359075280649,80.6580341473983,NA,NA,NA,NA,NA,NA
1289.KH3,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1011,1902.83636363636,8.19950557953624,86.4474894063101,NA,NA,NA,NA,NA,NA
1289.KH30,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,939,1660.79220779221,8.27299347459964,79.692455265901,NA,NA,NA,NA,NA,NA
1289.KH31,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,935,1577.81176470588,8.23196108014178,78.502883310157,NA,NA,NA,NA,NA,NA
1289.KH32,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,944,1537.46296296296,8.30057333081438,76.844074111206,NA,NA,NA,NA,NA,NA
