dataset,biome_label_scheme,rank,genus,phylum,full_lineage,MeanDecreaseAccuracy,MeanDecreaseGini
Global_Topsoil,grouped_biomes,22,Rubrobacter,Actinomycetota,Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter,3.5411,0.9968
Global_Topsoil,grouped_biomes,23,Burkholderia-Caballeronia-Paraburkholderia,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia,3.5341,1.099
Global_Topsoil,grouped_biomes,24,Conexibacter,Actinomycetota,Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter,3.342,0.9118
Global_Topsoil,grouped_biomes,25,Sphingomonas,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas,3.2459,1.2863
Global_Topsoil,grouped_biomes,26,Massilia,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia,3.098,0.7674
Global_Topsoil,grouped_biomes,27,Singulisphaera,Planctomycetota,Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Singulisphaera,3.07,0.5826
Global_Topsoil,grouped_biomes,28,mle1-7,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;mle1-7,3.0486,0.644
Global_Topsoil,grouped_biomes,29,HSB OF53-F07,Chloroflexota,Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;HSB OF53-F07,2.9154,0.9169
Global_Topsoil,grouped_biomes,30,Luteolibacter,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Rubritaleaceae;Luteolibacter,2.8991,0.6234
Global_Topsoil,grouped_biomes,31,Streptacidiphilus,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptacidiphilus,2.8536,0.6765
Global_Topsoil,grouped_biomes,32,Gemmata,Planctomycetota,Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata,2.7973,1.3437
Global_Topsoil,grouped_biomes,33,Variibacter,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Variibacter,2.663,0.383
